group,topic_id,topic_size,llm_model,llm_provider,label,cosine
A,41,6,qwen/qwen-2.5-7b-instruct,openai-compatible,access issues,0.820495069026947
A,42,6,qwen/qwen-2.5-7b-instruct,openai-compatible,confidence intervals,0.6168732047080994
A,43,6,qwen/qwen-2.5-7b-instruct,openai-compatible,parkinsons toluene,0.3469318449497223
A,44,6,qwen/qwen-2.5-7b-instruct,openai-compatible,slope intercept question,0.8313736915588379
A,45,6,qwen/qwen-2.5-7b-instruct,openai-compatible,reaction times,0.6295778751373291
A,46,6,qwen/qwen-2.5-7b-instruct,openai-compatible,random forests,0.5969269871711731
A,47,6,qwen/qwen-2.5-7b-instruct,openai-compatible,matrix syntax issues,0.7859781980514526
A,48,6,qwen/qwen-2.5-7b-instruct,openai-compatible,electron trajectories,0.6578999757766724
A,49,6,qwen/qwen-2.5-7b-instruct,openai-compatible,spinal cord injuries,0.7928366661071777
A,50,5,qwen/qwen-2.5-7b-instruct,openai-compatible,firms enter exit market,0.5853263139724731
A,51,5,qwen/qwen-2.5-7b-instruct,openai-compatible,missing homework answers,0.475737988948822
A,52,5,qwen/qwen-2.5-7b-instruct,openai-compatible,email inquiries,0.6612985730171204
A,53,5,qwen/qwen-2.5-7b-instruct,openai-compatible,accreditation concerns,0.1702091246843338
A,54,5,qwen/qwen-2.5-7b-instruct,openai-compatible,logarithms in math,0.6677460670471191
A,55,5,qwen/qwen-2.5-7b-instruct,openai-compatible,quick summary sheets,0.7089276909828186
A,56,5,qwen/qwen-2.5-7b-instruct,openai-compatible,problem solved,0.668978214263916
A,57,5,qwen/qwen-2.5-7b-instruct,openai-compatible,frequency data study,0.7144946455955505
A,58,5,qwen/qwen-2.5-7b-instruct,openai-compatible,multiple births calculation,0.7194639444351196
A,59,5,qwen/qwen-2.5-7b-instruct,openai-compatible,ipad issues,0.7712331414222717
A,60,5,qwen/qwen-2.5-7b-instruct,openai-compatible,regression analysis,0.4302181601524353
A,61,5,qwen/qwen-2.5-7b-instruct,openai-compatible,nonlinear vs linear models,0.5484720468521118
A,63,5,qwen/qwen-2.5-7b-instruct,openai-compatible,donor calculation,0.7619113326072693
A,64,5,qwen/qwen-2.5-7b-instruct,openai-compatible,model selection,0.38005775213241577
A,65,5,qwen/qwen-2.5-7b-instruct,openai-compatible,typos and errors,0.6153639554977417
A,66,4,qwen/qwen-2.5-7b-instruct,openai-compatible,graph errors,0.7103317379951477
A,67,4,qwen/qwen-2.5-7b-instruct,openai-compatible,tech issues,0.31427767872810364
A,68,4,qwen/qwen-2.5-7b-instruct,openai-compatible,tables figures,0.6022016406059265
A,69,4,qwen/qwen-2.5-7b-instruct,openai-compatible,units discrepancy,0.7726032733917236
A,70,4,qwen/qwen-2.5-7b-instruct,openai-compatible,editing exercises,0.6294178366661072
A,71,4,qwen/qwen-2.5-7b-instruct,openai-compatible,height distribution,0.5384305119514465
A,72,4,qwen/qwen-2.5-7b-instruct,openai-compatible,download issues,0.5959888100624084
A,73,4,qwen/qwen-2.5-7b-instruct,openai-compatible,pca regression,0.598773717880249
A,74,4,qwen/qwen-2.5-7b-instruct,openai-compatible,fitted getting,0.7026811242103577
A,75,4,qwen/qwen-2.5-7b-instruct,openai-compatible,book discount inquiry,0.7398055195808411
A,76,4,qwen/qwen-2.5-7b-instruct,openai-compatible,degrees of freedom,0.6028096079826355
A,77,4,qwen/qwen-2.5-7b-instruct,openai-compatible,typos and colloquial,0.6570336818695068
A,78,4,qwen/qwen-2.5-7b-instruct,openai-compatible,seizures treatment,0.6795740723609924
A,79,4,qwen/qwen-2.5-7b-instruct,openai-compatible,utility numbers,0.8038004040718079
A,80,4,qwen/qwen-2.5-7b-instruct,openai-compatible,rubric buttons,0.7988935112953186
A,81,4,qwen/qwen-2.5-7b-instruct,openai-compatible,unsatisfied previous,0.3072280287742615
A,82,4,qwen/qwen-2.5-7b-instruct,openai-compatible,opportunity cost,0.4057522416114807
A,83,4,qwen/qwen-2.5-7b-instruct,openai-compatible,data submission issues,0.3497840464115143
A,84,4,qwen/qwen-2.5-7b-instruct,openai-compatible,dice rolling probability,0.8129628300666809
A,85,4,qwen/qwen-2.5-7b-instruct,openai-compatible,sign confusion,0.6291224360466003
A,87,3,qwen/qwen-2.5-7b-instruct,openai-compatible,graph analysis,0.4844791293144226
A,88,3,qwen/qwen-2.5-7b-instruct,openai-compatible,previous work dissatisfaction,0.3669446110725403
A,89,3,qwen/qwen-2.5-7b-instruct,openai-compatible,scientific writing,0.5880935192108154
A,90,3,qwen/qwen-2.5-7b-instruct,openai-compatible,phd thesis writing,0.6584256887435913
A,92,3,qwen/qwen-2.5-7b-instruct,openai-compatible,capitalization issues,0.7279007434844971
A,93,3,qwen/qwen-2.5-7b-instruct,openai-compatible,binary variables,0.6794530153274536
A,94,3,qwen/qwen-2.5-7b-instruct,openai-compatible,value updates,0.6507707238197327
A,97,3,qwen/qwen-2.5-7b-instruct,openai-compatible,howcome answers,0.6612993478775024
A,98,3,qwen/qwen-2.5-7b-instruct,openai-compatible,percentages decimals,0.6588180065155029
A,99,3,qwen/qwen-2.5-7b-instruct,openai-compatible,signrank test,0.4937936067581177
A,100,3,qwen/qwen-2.5-7b-instruct,openai-compatible,brain spinal cord injuries,0.553041934967041
A,101,3,qwen/qwen-2.5-7b-instruct,openai-compatible,antiinflammatory drugs,0.6067848205566406
A,102,3,qwen/qwen-2.5-7b-instruct,openai-compatible,vaccine simulations,0.8276683688163757
A,103,3,qwen/qwen-2.5-7b-instruct,openai-compatible,recruitment and participation,0.5993669629096985
A,104,3,qwen/qwen-2.5-7b-instruct,openai-compatible,magnitude curve shift,0.689792811870575
A,105,3,qwen/qwen-2.5-7b-instruct,openai-compatible,speed issues,0.6162226796150208
A,106,3,qwen/qwen-2.5-7b-instruct,openai-compatible,copy paste glitch,0.6028439998626709
A,107,3,qwen/qwen-2.5-7b-instruct,openai-compatible,section issues,0.7483311891555786
A,108,3,qwen/qwen-2.5-7b-instruct,openai-compatible,lesson disappearance,0.7448834180831909
A,109,3,qwen/qwen-2.5-7b-instruct,openai-compatible,module repetition,0.38606953620910645
A,110,3,qwen/qwen-2.5-7b-instruct,openai-compatible,model variance error,0.5865716338157654
A,111,3,qwen/qwen-2.5-7b-instruct,openai-compatible,spline fitting,0.4646928906440735
A,112,3,qwen/qwen-2.5-7b-instruct,openai-compatible,toy data examples,0.5239627957344055
A,114,3,qwen/qwen-2.5-7b-instruct,openai-compatible,beta normal vectors,0.3723328709602356
A,115,3,qwen/qwen-2.5-7b-instruct,openai-compatible,bone health,0.5098998546600342
A,116,3,qwen/qwen-2.5-7b-instruct,openai-compatible,linear vs nonlinear,0.46939241886138916
A,117,3,qwen/qwen-2.5-7b-instruct,openai-compatible,squared betas,0.7192425727844238
A,118,3,qwen/qwen-2.5-7b-instruct,openai-compatible,tech issues,0.2385978400707245
A,119,3,qwen/qwen-2.5-7b-instruct,openai-compatible,confused about images,0.5850206017494202
A,120,3,qwen/qwen-2.5-7b-instruct,openai-compatible,patient diagnosis,0.47347283363342285
A,121,3,qwen/qwen-2.5-7b-instruct,openai-compatible,margin tolerance,0.3981877267360687
A,122,3,qwen/qwen-2.5-7b-instruct,openai-compatible,economic models,0.3004136085510254
A,124,3,qwen/qwen-2.5-7b-instruct,openai-compatible,estimator calculation,0.5905979871749878
A,125,3,qwen/qwen-2.5-7b-instruct,openai-compatible,generalized crossvalidation,0.7300755977630615
A,126,3,qwen/qwen-2.5-7b-instruct,openai-compatible,basis functions,0.802418053150177
A,127,2,qwen/qwen-2.5-7b-instruct,openai-compatible,negative power,0.38477396965026855
A,128,2,qwen/qwen-2.5-7b-instruct,openai-compatible,wave explanations,0.3819795250892639
A,129,2,qwen/qwen-2.5-7b-instruct,openai-compatible,irreducible variance,0.5071200728416443
A,130,2,qwen/qwen-2.5-7b-instruct,openai-compatible,demo editing issues,0.46718308329582214
A,131,2,qwen/qwen-2.5-7b-instruct,openai-compatible,singular fit error,0.6414671540260315
A,132,2,qwen/qwen-2.5-7b-instruct,openai-compatible,mse prediction,0.5400059819221497
A,133,2,qwen/qwen-2.5-7b-instruct,openai-compatible,fick equation,0.6078376770019531
A,134,2,qwen/qwen-2.5-7b-instruct,openai-compatible,mooc interface issues,0.282671183347702
A,135,2,qwen/qwen-2.5-7b-instruct,openai-compatible,variable errors,0.6966227293014526
A,136,2,qwen/qwen-2.5-7b-instruct,openai-compatible,verb revision,0.5022452473640442
A,137,2,qwen/qwen-2.5-7b-instruct,openai-compatible,enunciation requirements,0.5774571299552917
A,138,2,qwen/qwen-2.5-7b-instruct,openai-compatible,price elasticity,0.4998525381088257
A,139,2,qwen/qwen-2.5-7b-instruct,openai-compatible,line breaks issue,0.35616248846054077
A,140,2,qwen/qwen-2.5-7b-instruct,openai-compatible,bagging models,0.3034641742706299
A,143,2,qwen/qwen-2.5-7b-instruct,openai-compatible,absolute distance,0.34793975949287415
A,144,2,qwen/qwen-2.5-7b-instruct,openai-compatible,data loading issues,0.32829388976097107
A,145,2,qwen/qwen-2.5-7b-instruct,openai-compatible,indexing and errors,0.21914930641651154
A,146,2,qwen/qwen-2.5-7b-instruct,openai-compatible,significant variables,0.33552002906799316
A,147,2,qwen/qwen-2.5-7b-instruct,openai-compatible,logistic regression issues,0.5139224529266357
A,148,2,qwen/qwen-2.5-7b-instruct,openai-compatible,issue fixed,0.7810570001602173
A,149,2,qwen/qwen-2.5-7b-instruct,openai-compatible,negative mean squared,0.7903510332107544
A,151,2,qwen/qwen-2.5-7b-instruct,openai-compatible,prescriptive norms,0.23136675357818604
A,152,2,qwen/qwen-2.5-7b-instruct,openai-compatible,format question,0.4629751443862915
A,153,2,qwen/qwen-2.5-7b-instruct,openai-compatible,regression analysis,0.37141457200050354
A,155,2,qwen/qwen-2.5-7b-instruct,openai-compatible,office hours query,0.6313761472702026
A,156,2,qwen/qwen-2.5-7b-instruct,openai-compatible,binary variables explanation,0.49152132868766785
A,157,2,qwen/qwen-2.5-7b-instruct,openai-compatible,calculus help,0.3905930519104004
A,158,2,qwen/qwen-2.5-7b-instruct,openai-compatible,data loading errors,0.5949079394340515
A,159,2,qwen/qwen-2.5-7b-instruct,openai-compatible,beta equation derivation,0.739761233329773
A,160,2,qwen/qwen-2.5-7b-instruct,openai-compatible,confused values,0.47251656651496887
A,2,42,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,package installation issues,0.499508798122406
A,9,17,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,correlation concepts,0.7499688267707825
A,11,15,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,coffee and tea consumption,0.5658437609672546
A,18,11,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,article access issues,0.7090857028961182
A,26,7,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,tree node analysis,0.7385528087615967
A,27,7,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,browser compatibility issues,0.5435171723365784
A,38,6,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,autism prevalence changes,0.7827203869819641
A,49,6,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,spinal cord injuries,0.7928366661071777
A,57,5,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,frequency data analysis,0.6449055671691895
A,59,5,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,ipad submission issues,0.7423069477081299
A,69,4,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,unit homework issues,0.5739214420318604
A,70,4,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,editing exercises,0.6294178366661072
A,72,4,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,download issues,0.5959888100624084
A,76,4,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,degrees of freedom,0.6028096079826355
A,78,4,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,seizure treatment in pediatrics,0.7361963987350464
A,101,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,antiinflammatory drugs and alzheimer's,0.7152451872825623
A,103,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,participation cost effectiveness,0.4117358922958374
A,105,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,speed of response,0.5564625263214111
A,108,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,missing course content,0.5769971609115601
A,122,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,economic model uncertainty,0.3930165767669678
A,125,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,crossvalidation confusion,0.8280701041221619
A,129,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,irreducible error,0.4145568013191223
A,133,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,fick equation confusion,0.6275146007537842
A,135,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,variable error confusion,0.7000768780708313
A,138,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,price elasticity issues,0.4782629609107971
A,139,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,formatting issues,0.39919519424438477
A,140,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,bagging and oob error,0.5000868439674377
A,147,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,logistic regression failure,0.54167240858078
A,149,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,mean squared error,0.7093494534492493
B,1,93,meta-llama/llama-3.1-8b-instruct,openai-compatible,math education challenges,0.6166538596153259
B,6,8,meta-llama/llama-3.1-8b-instruct,openai-compatible,getting course credit,0.6536037921905518
B,9,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,video captions needed,0.6682313084602356
B,18,3,meta-llama/llama-3.1-8b-instruct,openai-compatible,clarify feedback requirements,0.5130486488342285
B,13,4,meta-llama/llama-3.3-70b-instruct,openai-compatible,certificate download,0.7338094711303711
B,0,101,qwen/qwen-2.5-7b-instruct,openai-compatible,peer review issues,0.42677122354507446
B,1,93,qwen/qwen-2.5-7b-instruct,openai-compatible,math learning strategies,0.5266178250312805
B,2,30,qwen/qwen-2.5-7b-instruct,openai-compatible,video access issues,0.5949065089225769
B,3,9,qwen/qwen-2.5-7b-instruct,openai-compatible,formatting issues,0.4112713634967804
B,4,9,qwen/qwen-2.5-7b-instruct,openai-compatible,submission issues,0.5751153230667114
B,5,8,qwen/qwen-2.5-7b-instruct,openai-compatible,peer feedback,0.7089813947677612
B,6,8,qwen/qwen-2.5-7b-instruct,openai-compatible,credit issues,0.6026413440704346
B,7,8,qwen/qwen-2.5-7b-instruct,openai-compatible,progress issues,0.6808816194534302
B,8,7,qwen/qwen-2.5-7b-instruct,openai-compatible,survey issues,0.6697463989257812
B,9,6,qwen/qwen-2.5-7b-instruct,openai-compatible,video captions needed,0.6682313084602356
B,10,6,qwen/qwen-2.5-7b-instruct,openai-compatible,painting problem,0.49762240052223206
B,11,5,qwen/qwen-2.5-7b-instruct,openai-compatible,firefox issues,0.5575613975524902
B,12,5,qwen/qwen-2.5-7b-instruct,openai-compatible,survey issues,0.8232945203781128
B,13,4,qwen/qwen-2.5-7b-instruct,openai-compatible,certificate download,0.7338094711303711
B,14,4,qwen/qwen-2.5-7b-instruct,openai-compatible,accidental submissions,0.5519128441810608
B,15,3,qwen/qwen-2.5-7b-instruct,openai-compatible,certificate completion,0.6645719408988953
B,17,3,qwen/qwen-2.5-7b-instruct,openai-compatible,submission issues,0.816156268119812
B,18,3,qwen/qwen-2.5-7b-instruct,openai-compatible,feedback agreement,0.6200147867202759
B,19,3,qwen/qwen-2.5-7b-instruct,openai-compatible,tech issues during session,0.589000403881073
B,20,3,qwen/qwen-2.5-7b-instruct,openai-compatible,feedback & comments,0.4779072701931
B,21,2,qwen/qwen-2.5-7b-instruct,openai-compatible,forum fix,0.4119495451450348
B,22,2,qwen/qwen-2.5-7b-instruct,openai-compatible,discussion discouragement,0.5013297200202942
B,23,2,qwen/qwen-2.5-7b-instruct,openai-compatible,scrolling video issues,0.48648858070373535
B,24,2,qwen/qwen-2.5-7b-instruct,openai-compatible,course resources,0.7008849382400513
B,16,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,svg image support,0.3328714370727539
B,19,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,tech issues posting,0.4947371780872345
B,23,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,video background issues,0.41669541597366333
C,6,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,article access issues,0.7658028602600098
C,16,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,blank pages issue,0.660990834236145
C,15,2,meta-llama/llama-3.3-70b-instruct,openai-compatible,change directory,0.885725200176239
C,0,1308,qwen/qwen-2.5-7b-instruct,openai-compatible,subset selection,0.14066363871097565
C,1,429,qwen/qwen-2.5-7b-instruct,openai-compatible,cold body effects,0.6586441397666931
C,2,12,qwen/qwen-2.5-7b-instruct,openai-compatible,hypercube volume,0.6370956301689148
C,3,10,qwen/qwen-2.5-7b-instruct,openai-compatible,audio volume issues,0.6859700083732605
C,4,7,qwen/qwen-2.5-7b-instruct,openai-compatible,link sharing,0.538935124874115
C,5,6,qwen/qwen-2.5-7b-instruct,openai-compatible,deadlines urgent,0.6880536079406738
C,6,5,qwen/qwen-2.5-7b-instruct,openai-compatible,article access,0.8627157211303711
C,7,4,qwen/qwen-2.5-7b-instruct,openai-compatible,logit scale,0.6996960639953613
C,8,3,qwen/qwen-2.5-7b-instruct,openai-compatible,scaling formulas,0.5114434361457825
C,9,3,qwen/qwen-2.5-7b-instruct,openai-compatible,basis functions,0.7496830224990845
C,10,3,qwen/qwen-2.5-7b-instruct,openai-compatible,reaction speed,0.6957210302352905
C,11,3,qwen/qwen-2.5-7b-instruct,openai-compatible,business profits,0.6854182481765747
C,12,3,qwen/qwen-2.5-7b-instruct,openai-compatible,intercept concepts,0.6100623607635498
C,13,3,qwen/qwen-2.5-7b-instruct,openai-compatible,office hours,0.9153370261192322
C,14,2,qwen/qwen-2.5-7b-instruct,openai-compatible,code and figures,0.46414467692375183
C,15,2,qwen/qwen-2.5-7b-instruct,openai-compatible,change working directory,0.9765520691871643
C,16,2,qwen/qwen-2.5-7b-instruct,openai-compatible,print issues,0.5520957112312317
C,17,2,qwen/qwen-2.5-7b-instruct,openai-compatible,complexity quantified,0.3747745454311371
C,18,2,qwen/qwen-2.5-7b-instruct,openai-compatible,r code errors,0.2749839425086975
C,19,2,qwen/qwen-2.5-7b-instruct,openai-compatible,support vector machine,0.3141203820705414
C,20,2,qwen/qwen-2.5-7b-instruct,openai-compatible,technical glitch,0.5118451714515686
C,0,1308,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,course data issues,0.5295404195785522
C,13,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,office hours inquiry,0.7969052791595459
C,21,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,gender and risk perception,0.5212656259536743
D,1,24,meta-llama/llama-3.1-8b-instruct,openai-compatible,resuscitation room setup,0.47293731570243835
D,6,10,meta-llama/llama-3.1-8b-instruct,openai-compatible,seizures in pediatrics,0.5404645800590515
D,25,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,interpreting data correctly,0.5113973617553711
D,31,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,fitness performance,0.6656613945960999
D,57,3,meta-llama/llama-3.1-8b-instruct,openai-compatible,exact vs chisquare test,0.7941150665283203
D,60,3,meta-llama/llama-3.1-8b-instruct,openai-compatible,percentages in decimals,0.6581377387046814
D,76,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,statement accomplishment issue,0.6806281805038452
D,41,3,meta-llama/llama-3.3-70b-instruct,openai-compatible,unit download issues,0.6309402585029602
D,47,3,meta-llama/llama-3.3-70b-instruct,openai-compatible,need help,0.8492453098297119
D,78,2,meta-llama/llama-3.3-70b-instruct,openai-compatible,forecasting errors,0.39098674058914185
D,79,2,meta-llama/llama-3.3-70b-instruct,openai-compatible,module download,0.8476897478103638
D,81,2,meta-llama/llama-3.3-70b-instruct,openai-compatible,update reference books,0.6743056774139404
D,1,24,qwen/qwen-2.5-7b-instruct,openai-compatible,resuscitation equipment,0.4849574565887451
D,2,20,qwen/qwen-2.5-7b-instruct,openai-compatible,tech support issues,0.47393691539764404
D,3,15,qwen/qwen-2.5-7b-instruct,openai-compatible,deducer installation issues,0.6164882183074951
D,4,12,qwen/qwen-2.5-7b-instruct,openai-compatible,slides download,0.8762885332107544
D,5,11,qwen/qwen-2.5-7b-instruct,openai-compatible,histograms vs bars,0.7808833718299866
D,8,9,qwen/qwen-2.5-7b-instruct,openai-compatible,person years,0.6933251619338989
D,9,9,qwen/qwen-2.5-7b-instruct,openai-compatible,statement accomplishment,0.7911099195480347
D,10,9,qwen/qwen-2.5-7b-instruct,openai-compatible,parkinsons exposure,0.41447389125823975
D,11,8,qwen/qwen-2.5-7b-instruct,openai-compatible,submit finished topic,0.6645652651786804
D,12,7,qwen/qwen-2.5-7b-instruct,openai-compatible,student feedback,0.2637978494167328
D,13,7,qwen/qwen-2.5-7b-instruct,openai-compatible,normal approx binomial,0.7907993197441101
D,14,7,qwen/qwen-2.5-7b-instruct,openai-compatible,ordinal data,0.687065839767456
D,15,6,qwen/qwen-2.5-7b-instruct,openai-compatible,multiples births calculation,0.7090559005737305
D,16,6,qwen/qwen-2.5-7b-instruct,openai-compatible,slope calculation,0.7313489317893982
D,17,6,qwen/qwen-2.5-7b-instruct,openai-compatible,going nicely,0.698181688785553
D,18,6,qwen/qwen-2.5-7b-instruct,openai-compatible,donor blood prevalence,0.6059869527816772
D,19,6,qwen/qwen-2.5-7b-instruct,openai-compatible,assignment issues,0.3002665638923645
