group,topic_id,topic_size,llm_model,llm_provider,label,cosine
B,19,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,tech issues posting,0.4947371780872345
B,23,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,video background issues,0.41669541597366333
C,6,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,article access issues,0.7658028602600098
C,16,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,blank pages issue,0.660990834236145
C,15,2,meta-llama/llama-3.3-70b-instruct,openai-compatible,change directory,0.885725200176239
C,0,1308,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,course data issues,0.5295404195785522
C,13,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,office hours inquiry,0.7969052791595459
C,21,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,gender and risk perception,0.5212656259536743
D,1,24,meta-llama/llama-3.1-8b-instruct,openai-compatible,resuscitation room setup,0.47293731570243835
D,6,10,meta-llama/llama-3.1-8b-instruct,openai-compatible,seizures in pediatrics,0.5404645800590515
D,25,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,interpreting data correctly,0.5113973617553711
D,31,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,fitness performance,0.6656613945960999
D,57,3,meta-llama/llama-3.1-8b-instruct,openai-compatible,exact vs chisquare test,0.7941150665283203
D,60,3,meta-llama/llama-3.1-8b-instruct,openai-compatible,percentages in decimals,0.6581377387046814
D,76,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,statement accomplishment issue,0.6806281805038452
D,41,3,meta-llama/llama-3.3-70b-instruct,openai-compatible,unit download issues,0.6309402585029602
D,47,3,meta-llama/llama-3.3-70b-instruct,openai-compatible,need help,0.8492453098297119
D,78,2,meta-llama/llama-3.3-70b-instruct,openai-compatible,forecasting errors,0.39098674058914185
D,79,2,meta-llama/llama-3.3-70b-instruct,openai-compatible,module download,0.8476897478103638
D,81,2,meta-llama/llama-3.3-70b-instruct,openai-compatible,update reference books,0.6743056774139404
D,0,1893,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,peer grading issues,0.5594531297683716
D,2,20,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,email support issues,0.6902483701705933
D,8,9,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,person-years calculation,0.7722477316856384
D,10,9,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,case control study,0.37890762090682983
D,38,4,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,module repetition confusion,0.7697887420654297
D,43,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,browser submission issues,0.4702329635620117
D,55,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,ratios and units confusion,0.6342138648033142
D,58,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,platform compatibility issues,0.3711029589176178
D,60,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,answer format instructions,0.218001589179039
D,67,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,assignment wait issues,0.6838358044624329
D,77,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,outlier detection methods,0.43578338623046875
D,79,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,download issues,0.5115151405334473
D,81,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,textbook reference update,0.6618077158927917
